frechet_distance,trained_batches,batch_size,data_dim,feature_dim,dataset_size
6930436700000.0,240000,32,16384,256,2048
6999424600000.0,240000,32,16384,256,4096
7042137300000.0,240000,32,16384,256,8192
7064577400000.0,240000,32,16384,256,16384
7082790000000.0,240000,32,16384,256,32768
7082768000000.0,240000,32,16384,256,65536
13676802000000.0,240000,32,16384,512,1024
13901064000000.0,240000,32,16384,512,2048
14018227000000.0,240000,32,16384,512,4096
14112330000000.0,240000,32,16384,512,8192
14158587000000.0,240000,32,16384,512,16384
14188216000000.0,240000,32,16384,512,32768
14185047000000.0,240000,32,16384,512,65536
10204694000000.0,280000,32,16384,128,256
10379174000000.0,280000,32,16384,128,512
10407122000000.0,280000,32,16384,128,1024
10381859000000.0,280000,32,16384,128,2048
10409790000000.0,280000,32,16384,128,4096
10449861000000.0,280000,32,16384,128,8192
10430887000000.0,280000,32,16384,128,16384
10444934000000.0,280000,32,16384,128,32768
10443520000000.0,280000,32,16384,128,65536
22176950000000.0,280000,32,16384,256,512
22174507000000.0,280000,32,16384,256,1024
22210080000000.0,280000,32,16384,256,2048
22190527000000.0,280000,32,16384,256,4096
22246513000000.0,280000,32,16384,256,8192
22204370000000.0,280000,32,16384,256,16384
22240733000000.0,280000,32,16384,256,32768
22241878000000.0,280000,32,16384,256,65536
38532680000000.0,280000,32,16384,512,1024
38561560000000.0,280000,32,16384,512,2048
38601455000000.0,280000,32,16384,512,4096
38667540000000.0,280000,32,16384,512,8192
38576840000000.0,280000,32,16384,512,16384
38627400000000.0,280000,32,16384,512,32768
38624674000000.0,280000,32,16384,512,65536
34511463000000.0,320000,32,16384,128,256
34618732000000.0,320000,32,16384,128,512
34859574000000.0,320000,32,16384,128,1024
34889848000000.0,320000,32,16384,128,2048
34920852000000.0,320000,32,16384,128,4096
34873237000000.0,320000,32,16384,128,8192
34857978000000.0,320000,32,16384,128,16384
34867199000000.0,320000,32,16384,128,32768
34875577000000.0,320000,32,16384,128,65536
65477116000000.0,320000,32,16384,256,512
65807380000000.0,320000,32,16384,256,1024
65859385000000.0,320000,32,16384,256,2048
65898505000000.0,320000,32,16384,256,4096
65879354000000.0,320000,32,16384,256,8192
65826573000000.0,320000,32,16384,256,16384
65847100000000.0,320000,32,16384,256,32768
65870995000000.0,320000,32,16384,256,65536
137652760000000.0,320000,32,16384,512,1024
137514150000000.0,320000,32,16384,512,2048
137504800000000.0,320000,32,16384,512,4096
137427570000000.0,320000,32,16384,512,8192
137355670000000.0,320000,32,16384,512,16384
137369560000000.0,320000,32,16384,512,32768
137425255000000.0,320000,32,16384,512,65536
